words,frequency
#foodstyling,1
#reelsinstagram,1
#kashmir,1
#jammu,1
Hey,2
"Bengaluru,",1
ready,3
biggest,1
Gin,3
festival,1
heading,1
way?,1
🍸✨,1
Experience,1
best,2
"music,",1
unlimited,1
cocktails,1
Explorers,2
Club,1
Retroverse!🪩🕺🏻,1
When:,1
9th,2
"December,",2
2023,1
🍸,2
Where:,1
Jayamahal,2
"Palace,",2
Bengaluru,1
📍,1
gin-ing!,1
🎉,1
tickets,2
bio!,1
🎟️,1
#ginexplorersclub,1
#GinOClock,1
Staying,1
curious,1
open,1
makes,1
Original.,1
@theglenlivet_in,2
originality,1
those,1
dared,1
live,2
value.,1
Chef,2
@prateeksadhu,1
“I’m,1
insatiably,1
"curious,",1
never,1
"content,",1
hungry,1
That’s,1
Original.”,1
Head,2
‘s,1
@prateeksadhu’s,1
recipe,1
originality..,1
#collabration,1
#TheGlenlivetGlassware,1
#LiveOriginal,1
#Curious,1
Bengaluru!,1
World's,1
BIGGEST,1
gin,2
extravaganza,1
back!,1
🕹️Dive,1
Club:,1
Retroverse,1
"Edition,",1
disco-paradise,1
neon,2
lights,1
retro,1
arcade,1
games,1
meet,1
juniper,1
delights.,2
calendars,1
night,2
Explore,1
wide,1
selection,1
gins,1
groovy,1
disco,1
"beats,",1
it's,1
step,1
Retroverse.,1
Venue,1
Palace,2
Grab,1
#ItsGinOClock,1
#GinExplorersClub,1
#GEC2023,1
#retroverse,1
Ministry,3
Crab,4
Returns,1
Indulgent,1
Stint,1
Shang,2
Shangri-La,1
Eros,1
Delhi.,1
located,1
"Khar,",1
"Mumbai,",1
beautiful,1
heritage,1
site.,1
restaurant,1
brings,1
guests,1
crustacean,1
experience,1
"country,",1
India’s,2
finest,1
seafood,1
legendary,1
lagoon,1
mud,2
crabs.,1
@shangrilanewdelhi,2
indulge,1
fabulous,1
@ministryofcrab.,1
🦀🤤,1
Last,1
crab,4
feast,1
Crab.,1
Avocado,1
Salad,1
delightful,1
start—steamed,1
white,1
wasabi,1
"mayo,",1
served,1
avocado.,1
Chilli,1
Prawn,1
Kade,1
blend,1
"prawns,",1
Italian,1
olive,1
"oil,",1
Japanese,2
soy,1
sauce.,1
Pepper,1
"standout,",1
black,1
pepper,1
"stock,",1
paired,1
Kani,1
"Chahan,",1
style,1
fried,1
rice.,1
Shout,1
@ministryofcrab.mumbai,1
experience!,1
famous,1
Gali,2
Paranthe,2
Wali,1
wali,1
narrow,1
street,1
Chandni,1
area,1
"Delhi,",1
noted,1
shops,1
selling,1
parathas.,1
Gaya,1
Prashad,1
being,1
ones,1
must,2
visit.😍,1
Angels,2
Devils,1
both,1
set,1
steal,2
whiskey.,1
"above,",1
Devil,1
steals,1
within,2
(or,1
"barrel,",1
accurately),1
👿,1
Embark,1
flavorful,1
journey,2
Delhi's,1
culinary,2
paradise!,1
🌶️🥥,1
crispy,1
dosas,1
tangy,1
"sambar,",1
discover,1
hidden,1
gems,1
must-try,1
delights,1
guide.,1
🍛✨,1
embarked,1
sensory,1
Pinch,1
"Spice,",1
dish,1
whispered,1
tales,1
mastery.,1
mouth-melting,1
Seekh,1
creamy,1
allure,1
Malai,1
"Kofta,",1
each,1
bite,1
resonated,1
rich,1
flavors.,1
epicurean,1
explorers!,1
🍽️✨,1
#CulinaryOdyssey,1
#PinchOfSpiceDelights,1
Indulge,1
cozy,1
cravings,1
without,1
leaving,1
comfort,2
zone,1
🍔🍕🌮,1
savor,1
flavors,1
home-delivered,1
food!,1
